"DATE_ON","DATE_OFF","ARTIST","TITLE"
"1939-11-26","1940-01-20","Frankie Masters","Scatter-Brain"
"1940-01-21","1940-02-03","Tommy Dorsey","All the Things You Are"
"1940-02-04","1940-04-27","Glenn Miller","In the Mood"
"1940-04-28","1940-06-15","Glenn Miller","The Woodpecker Song"
"1940-06-16","1940-07-06","Glenn Miller","Imagination"
"1940-07-07","1940-07-13","Mitchell Ayers","Make-Believe Island"
"1940-07-14","1940-07-20","Glenn Miller","Fools Rush In (Where Angels Fear To Tread)"
"1940-07-21","1940-10-12","Tommy Dorsey","I'll Never Smile Again"
"1940-10-13","1940-12-14","Bing Crosby","Only Forever"
"1940-12-15","1941-03-08","Artie Shaw","Frenesi"
"1940-12-15","1941-03-08","Artie Shaw","Frenesi"
"1941-03-09","1941-03-15","Glenn Miller","Song of the Volga Boatmen"
"1941-03-16","1941-03-22","Artie Shaw","Frenesi"
"1941-03-23","1941-05-31","Jimmy Dorsey","Amapola  (Pretty Little Poppy)"
"1941-06-01","1941-06-07","Jimmy Dorsey","My Sister And I"
"1941-06-08","1941-06-14","Jimmy Dorsey","Maria Elena"
"1941-06-15","1941-06-21","Sammy Kaye","Daddy"
"1941-06-22","1941-06-28","Jimmy Dorsey","My Sister And I"
"1941-06-29","1941-07-05","Jimmy Dorsey","Maria Elena"
"1941-07-06","1941-08-23","Sammy Kaye","Daddy"
"1941-08-24","1941-09-20","Jimmy Dorsey","Green Eyes"
"1941-09-21","1941-09-27","Jimmy Dorsey","Blue Champagne"
"1941-09-28","1941-11-22","Freddy Martin","Piano Concerto in B Flat"
"1941-11-23","1941-12-13","Glenn Miller","Chattanooga Choo Choo"
"1941-12-14","1941-12-20","Glenn Miller","Elmer's Tune"
"1941-12-21","1942-01-31","Glenn Miller","Chattanooga Choo Choo"
"1942-02-01","1942-02-07","Glenn Miller","A String Of Pearls"
"1942-02-08","1942-02-14","Woody Herman","Blues in the Night"
